brand_id,size_id,price,bar_id,published
29,6,4.5,,true
11,2,2,,true
11,6,3,,true
11,2,2,,true
11,6,3,,true
20,4,2.4,568,true
29,1,1.4,568,true
29,2,2.3,568,true
29,4,2.4,568,true
29,6,4.5,568,true
11,2,2,569,true
11,6,3,569,true
29,1,1.3,,true
29,2,1.8,,true
29,4,2.2,,true
29,6,3.5,,true
40,4,2.5,,true
8,4,2.1,,true
29,2,2.4,,true
29,2,2.4,,true
5,1,1.5,,true
5,2,2.3,,true
5,6,3.7,,true
5,8,12,,true
11,1,1.4,55,true
11,2,2.5,55,true
26,4,3.8,55,true
7,4,3.3,55,true
55,4,3.3,55,true
25,4,3.3,55,true
32,4,3.5,55,true
33,4,4.2,55,true
24,4,4,55,true
5,1,1.2,,true
5,2,2.1,,true
40,4,2.7,,true
1,4,2.6,,true
14,4,2.2,,true
5,1,1.3,,true
11,1,1,,true
11,2,1.5,,true
12,4,3,,true
34,4,1.5,,true
11,1,1.1,,true
11,3,0.8,,true
11,4,1,,true
34,4,1.3,,true
4,4,1.3,,true
44,3,1.1,,true
13,3,1.1,,true
6,3,1.1,,true
11,1,1,586,true
11,2,1.5,586,true
12,4,3,586,true
34,4,1.5,586,true
5,1,1.3,585,true
5,1,1.5,584,true
5,2,2.3,584,true
5,6,3.7,584,true
5,8,12,584,true
29,1,1.3,582,true
29,2,1.8,582,true
29,4,2.2,582,true
29,6,3.5,582,true
40,4,2.5,582,true
8,4,2.1,582,true
29,2,2.4,583,true
29,3,1.35,557,true
29,4,2.2,557,true
5,1,1.3,557,true
40,4,2.5,557,true
8,4,2.2,557,true
29,1,1,558,true
29,2,2,558,true
29,3,0.8,558,true
2,2,2.2,559,true
40,4,2.8,559,true
2,12,2.5,559,true
2,4,2.6,559,true
25,1,2,560,true
25,2,2.55,560,true
24,12,5.45,560,true
24,15,3.15,560,true
7,4,4,560,true
26,4,4,560,true
25,2,2.8,,true
38,4,2.8,,true
25,4,2.8,,true
29,1,1.5,566,true
29,2,2.5,566,true
29,6,3.6,566,true
5,1,1.2,588,true
5,2,2.1,588,true
40,4,2.7,588,true
1,4,2.6,588,true
14,4,2.2,588,true
25,2,2.8,567,true
38,4,2.8,567,true
25,4,2.8,567,true
29,1,1.4,,true
29,2,2.5,,true
29,4,2.5,,true
29,6,3.5,,true
35,1,1.5,426,true
35,2,2.35,426,true
29,1,1.5,562,true
29,2,2,562,true
29,4,2,562,true
29,3,1.5,562,true
29,6,3,562,true
18,2,3,563,true
38,4,4,563,true
7,4,4,563,true
15,4,4,564,true
7,4,3.5,564,true
10,4,3.5,564,true
2,4,3,564,true
56,4,3.5,564,true
29,1,1.4,565,true
29,2,2.5,565,true
29,4,2.5,565,true
29,6,3.5,565,true
29,1,1,,true
29,2,1.4,,true
29,6,2.5,,true
29,8,5,,true
29,1,1,561,true
29,2,1.4,561,true
29,6,2.5,561,true
29,8,5,561,true
11,4,1.5,95,true
12,4,2.5,95,true
34,4,1.5,95,true
25,4,2,95,true
16,4,2.5,95,true
6,4,1.5,95,true
11,7,1.5,95,true
61,4,2,95,true
26,4,3,95,true
24,4,3,95,true
11,1,1.2,,true
11,2,2.2,,true
11,3,1,,true
13,1,1.2,,true
11,1,1.2,,true
11,2,2.2,,true
25,4,2,,true
40,4,2.2,,true
13,1,1.2,,true
13,2,2.2,,true
4,4,1.8,,true
11,4,1.8,,true
11,1,1.5,,true
11,2,2.5,,true
11,1,1.3,,true
11,3,1,,true
11,6,2.5,,true
11,1,1.1,,true
11,2,2.2,,true
13,1,1.2,,true
11,1,1.1,,true
11,2,2.2,,true
29,4,1.8,,true
40,4,1.8,,true
12,4,2,,true
25,4,1.8,,true
11,1,1.5,,true
11,1,1.5,,true
11,2,2.7,,true
12,4,2.5,,true
13,1,1.5,,true
13,2,2.7,,true
34,4,2,,true
11,1,1.5,,true
11,2,3,,true
13,1,1.5,,true
13,2,3,,true
11,1,1,,true
11,2,2,,true
11,3,0.8,,true
25,4,1.5,,true
34,4,1.5,,true
13,1,1,,true
13,2,2,,true
11,1,1.1,,true
11,2,2,,true
11,4,1.8,,true
34,4,1.4,,true
13,1,1.2,,true
11,1,1.2,,true
13,1,1.2,,true
11,2,2,,true
13,2,2,,true
20,1,1.25,,true
20,2,2.4,,true
11,1,1.1,,true
11,2,2.2,,true
11,3,0.9,,true
26,4,3.5,,true
